firstName,lastName, LoanBalance , ArrearsBalance ,ArrearsDays,RepaymentAmount,LVR,JointLoan,LPI, SecurityValuation , RelationshipBalance , SavingsBalance ,SavingsBalanceOne,SavingsBalanceThree,ArrearsBalanceOne,ArrearsBalanceThree,ArrearsDaysOne,ArrearsDaysThree,TransactionQuantityOne,TransactionValueOne,TransactionQuantityThree,TransactionValueThree,AppUsageOne,AppUsageThree,InternetUsageOne,InternetUsageThree,BranchVisitsSix,Gender,Age,ResidentialPostcode,DefaultOccurred
Dix,Rentilll,7830.00,2855.00,714,2773.00,35,Yes,No,5740.00,1437.00,411.00,21,59,27,59,92,7,22,70,96,73,86,62,42,64,14,Female,9,65819,Yes
Cliff,Frankcom,4268.00,3720.00,267,7528.00,87,No,Yes,5907.00,1452.00,7225.00,40,40,71,81,7,56,32,54,88,41,7,95,85,81,81,Female,41,58350,No
Barde,Brookhouse,2556.00,6473.00,134,6147.00,54,Yes,Yes,662.00,9552.00,3590.00,71,11,93,22,43,61,4,5,92,41,85,92,17,32,89,Male,23,2210,No
Wilbur,Snepp,8990.00,4791.00,370,872.00,73,Yes,Yes,4268.00,3948.00,3014.00,10,88,6,43,29,88,66,12,89,1,61,22,12,100,25,Male,74,63649,No
Mattias,Loadsman,2009.00,8121.00,716,5438.00,71,Yes,No,7630.00,591.00,3829.00,54,13,31,18,82,95,96,67,50,70,10,36,73,69,89,Male,65,67795,Yes
Corena,Diego,3508.00,8567.00,976,1033.00,13,Yes,Yes,8701.00,8527.00,1817.00,53,4,67,47,64,11,66,92,43,100,69,66,4,93,35,Male,30,54988,No
Harmony,Sciusscietto,220.00,5801.00,533,3971.00,10,Yes,No,4338.00,5787.00,2304.00,94,52,49,92,3,66,21,3,21,18,12,86,57,37,88,Female,76,38765,Yes
Glyn,Adrienne,2045.00,9223.00,990,1277.00,14,No,Yes,8851.00,9286.00,5975.00,47,60,28,83,40,34,55,18,48,83,59,30,90,54,93,Male,13,89909,Yes
Bianca,Lukianov,2438.00,9357.00,423,810.00,17,Yes,No,8256.00,4731.00,5815.00,87,37,3,69,31,8,86,26,27,100,95,56,4,44,7,Male,13,3631,Yes
Stavro,Inseal,7562.00,6529.00,747,1861.00,97,Yes,No,7012.00,7808.00,5838.00,8,62,89,47,51,22,86,52,77,26,57,31,99,73,13,Female,39,39426,Yes
Aubrey,Fitzjohn,5780.00,3999.00,425,3437.00,68,No,No,3153.00,3683.00,3605.00,68,67,3,58,14,30,66,68,87,77,69,70,44,87,12,Female,9,13981,Yes
Sofie,Baudins,3011.00,492.00,975,2136.00,61,No,No,7759.00,3656.00,6549.00,25,4,71,87,48,24,17,73,53,78,95,38,98,81,25,Female,68,2284,No
Ailene,Stadden,1176.00,7020.00,697,9858.00,34,No,Yes,745.00,2425.00,2010.00,22,73,2,62,24,77,35,65,38,66,74,72,1,54,6,Female,2,73920,No
Roman,Engelbrecht,9658.00,5030.00,799,3584.00,18,Yes,No,676.00,5786.00,2561.00,24,59,34,75,8,3,5,1,82,17,94,90,12,13,58,Female,72,61276,No
Brockie,Leabeater,3496.00,4153.00,594,3673.00,22,Yes,Yes,8265.00,6292.00,6234.00,16,58,25,8,90,54,1,78,38,55,89,37,98,62,14,Female,66,57126,Yes
Rosene,Mateescu,8389.00,1571.00,352,4256.00,61,Yes,No,8721.00,2112.00,4877.00,40,43,5,7,23,68,38,23,62,56,39,91,100,18,27,Male,75,56566,No
Rosetta,Feaveer,6402.00,7629.00,822,8361.00,75,Yes,No,744.00,279.00,5336.00,93,36,12,50,59,44,47,89,99,37,7,32,90,47,44,Female,31,10567,Yes
Efren,Mahmood,8941.00,3520.00,765,7649.00,59,No,No,2557.00,8917.00,8306.00,75,51,20,19,57,42,80,15,90,19,85,50,4,98,27,Female,6,58967,No
Darnall,Gallagher,8922.00,742.00,547,2595.00,59,No,Yes,3301.00,2312.00,6087.00,100,78,78,85,19,16,62,47,85,21,11,28,15,1,82,Female,2,54040,No
Alverta,Gartery,9252.00,1904.00,546,946.00,61,No,No,3385.00,531.00,1369.00,100,73,16,32,71,92,99,72,93,61,40,95,66,55,27,Male,76,78026,Yes
Nessy,Boate,7517.00,8051.00,601,4581.00,63,No,Yes,5981.00,2738.00,7464.00,73,84,100,23,41,94,51,57,14,80,3,66,87,58,33,Male,80,69841,Yes
Malorie,Cotes,2690.00,1733.00,23,8474.00,74,Yes,Yes,8857.00,4265.00,1888.00,73,80,32,40,88,80,66,55,47,12,84,56,84,42,19,Male,70,68272,Yes
Kenneth,Vankeev,8373.00,9222.00,155,4864.00,58,Yes,Yes,9854.00,3566.00,7735.00,81,24,24,23,2,76,37,21,72,73,68,25,87,48,70,Female,21,69224,No
Doti,Adriani,5226.00,9786.00,965,5685.00,69,Yes,Yes,8171.00,1122.00,6644.00,50,77,85,88,58,39,29,88,75,78,90,2,55,81,77,Female,40,20393,Yes
Tobias,Armytage,2545.00,1982.00,724,2565.00,78,No,No,5530.00,7608.00,3361.00,4,28,47,44,73,9,21,63,44,64,66,59,55,59,100,Female,36,42463,Yes
Alex,Pudney,6523.00,3905.00,101,4049.00,87,Yes,No,9171.00,3204.00,9981.00,89,68,59,37,97,90,91,75,87,83,40,60,19,28,21,Female,3,43448,No
Livvy,Jacklings,3152.00,3642.00,811,3614.00,89,No,Yes,1127.00,5780.00,5676.00,10,72,50,65,67,89,36,77,71,56,50,64,14,86,34,Male,8,8926,Yes
Dolph,Menloe,2999.00,2344.00,450,1284.00,42,Yes,No,7107.00,218.00,115.00,60,95,65,8,64,2,95,61,11,100,74,55,8,23,38,Female,21,99044,Yes
Roberta,Flancinbaum,578.00,4928.00,35,5780.00,10,Yes,No,9983.00,5423.00,1153.00,39,52,55,94,89,21,15,14,48,83,39,48,52,31,31,Male,59,93542,Yes
Karoline,Schultz,3619.00,3965.00,475,5296.00,26,No,Yes,8019.00,2469.00,1549.00,53,39,35,97,27,31,72,99,3,68,48,52,20,71,18,Male,27,68680,No
Rosalind,MacCurley,7223.00,9616.00,676,9112.00,60,Yes,Yes,3358.00,821.00,3578.00,29,28,80,26,3,18,64,61,10,46,7,83,59,27,13,Female,25,34775,No
Danica,Ekless,4024.00,7927.00,26,7569.00,3,Yes,No,5344.00,7665.00,5246.00,20,35,72,39,74,41,83,73,34,32,43,69,56,2,2,Female,58,55721,Yes
Bethany,Tedstone,4026.00,2756.00,754,9942.00,31,No,Yes,3854.00,8605.00,1936.00,89,67,79,97,14,88,63,55,53,97,76,51,83,4,9,Female,75,8190,No
Moritz,Karpmann,3713.00,3509.00,426,7716.00,1,No,No,4313.00,2792.00,152.00,21,83,48,80,63,21,72,88,44,90,86,91,61,51,66,Male,7,67692,Yes
Phaedra,Camin,8994.00,4734.00,277,4804.00,39,No,Yes,1278.00,2319.00,6420.00,30,93,57,17,85,41,42,43,36,58,73,96,34,23,42,Male,15,66546,No
Lydon,Dadge,9461.00,3656.00,826,8122.00,36,No,Yes,1326.00,7821.00,9779.00,75,60,64,21,53,63,43,28,69,57,29,72,62,55,34,Female,48,86495,Yes
Obed,Shimmin,6726.00,9288.00,749,4722.00,7,Yes,Yes,6022.00,9776.00,8181.00,85,66,11,31,22,70,55,3,67,33,56,1,64,2,13,Female,39,83038,No
Freda,Charpin,160.00,1025.00,76,2976.00,77,Yes,Yes,2422.00,4736.00,8281.00,91,76,13,72,45,73,88,22,100,17,32,38,75,26,70,Female,50,19579,Yes
Pollyanna,Rubinovici,5095.00,1724.00,357,5729.00,86,No,No,7143.00,1574.00,9940.00,26,19,85,1,97,51,46,67,91,34,90,82,47,94,92,Male,29,95191,Yes
Bellanca,McQuorkell,6556.00,8434.00,324,9846.00,54,Yes,Yes,2049.00,9446.00,9843.00,16,46,29,89,78,29,36,1,89,74,30,57,48,60,4,Female,36,40083,Yes
Devonna,Pendrich,3006.00,8391.00,411,2810.00,8,Yes,No,7580.00,6755.00,2969.00,85,1,6,5,73,85,68,10,3,58,2,29,64,29,7,Female,32,58529,Yes
Maye,Kochl,8884.00,4342.00,892,8506.00,7,No,No,181.00,4337.00,9154.00,57,29,46,69,42,94,36,53,1,87,80,82,62,8,58,Male,10,38730,Yes
Christie,McGrail,1586.00,3600.00,729,1089.00,29,Yes,Yes,8646.00,8804.00,4731.00,53,13,89,100,21,35,3,33,14,92,46,26,66,10,87,Female,59,77816,No
Marice,Coope,6118.00,145.00,720,6497.00,21,No,Yes,383.00,1358.00,6499.00,4,94,10,31,94,53,18,35,47,36,51,99,43,81,69,Male,75,69343,No
Margarita,Fazackerley,4800.00,6436.00,57,5744.00,54,Yes,Yes,1658.00,1613.00,1861.00,70,43,28,32,100,22,62,55,44,15,82,88,18,93,43,Female,39,47010,No
Sibeal,Stollmeier,5419.00,8583.00,359,8323.00,29,Yes,No,9302.00,2836.00,6870.00,55,8,92,16,49,69,15,53,27,69,82,79,22,1,23,Female,48,84488,No
My,Cansdill,499.00,6747.00,321,5119.00,23,No,Yes,5382.00,6773.00,5467.00,54,7,30,63,63,14,28,9,64,19,86,93,12,38,75,Female,40,79385,Yes
Gabbey,Crickmer,8435.00,6086.00,337,9611.00,83,No,Yes,3640.00,219.00,3172.00,18,51,92,50,94,62,19,28,57,19,89,56,44,29,68,Female,55,80797,Yes
Claudetta,Beynon,7712.00,5804.00,425,827.00,13,No,No,7344.00,7201.00,4868.00,6,51,6,39,88,70,48,24,84,20,30,31,69,45,52,Female,27,77213,Yes
Etan,Charopen,7354.00,1085.00,746,6292.00,14,Yes,No,5740.00,9973.00,4894.00,25,94,83,18,94,81,46,11,80,60,43,37,27,22,73,Male,65,62852,Yes
Allyn,Betton,9529.00,6330.00,58,2285.00,79,Yes,Yes,1300.00,1012.00,8528.00,72,41,99,92,93,36,86,45,12,4,2,99,52,71,64,Male,51,43187,No
Samuele,Feldheim,4696.00,7891.00,15,9335.00,42,No,Yes,2739.00,6198.00,8614.00,4,76,81,41,44,92,11,43,34,54,2,54,2,22,29,Male,47,29849,Yes
Odella,Askey,7415.00,7117.00,890,4428.00,69,No,Yes,8174.00,4809.00,3316.00,55,13,45,4,31,31,56,38,100,36,21,12,55,71,2,Male,74,75901,Yes
Nat,Buttress,218.00,8893.00,349,4348.00,84,No,Yes,3946.00,5885.00,6385.00,27,19,81,57,93,88,29,1,14,35,24,97,65,11,54,Female,77,23141,No
Rhianon,Josef,928.00,4911.00,921,8472.00,50,No,No,3637.00,7335.00,7904.00,53,51,72,58,11,79,74,84,43,75,36,16,25,10,59,Female,58,4706,Yes
Ryley,Cardow,6766.00,7721.00,254,741.00,51,Yes,No,4243.00,5136.00,5183.00,41,62,74,37,26,31,26,64,84,14,16,41,20,1,67,Male,38,65796,No
Des,Chaddock,1268.00,4904.00,159,1182.00,23,No,No,6163.00,8502.00,4554.00,50,41,63,3,56,83,99,28,65,27,85,89,33,16,61,Female,11,82383,Yes
Denice,Walwood,863.00,8094.00,105,5490.00,4,No,Yes,278.00,2577.00,8128.00,83,16,29,71,75,67,12,85,50,38,23,65,19,91,54,Female,45,768,No
Alejandrina,Dew,2328.00,4112.00,784,419.00,69,Yes,No,9475.00,7408.00,1802.00,58,46,13,9,88,64,45,55,55,37,53,10,40,32,84,Female,77,57305,No
Scotty,Karlicek,8811.00,5675.00,286,7069.00,72,No,No,9922.00,3440.00,7917.00,27,48,52,21,90,61,67,2,28,30,96,98,67,27,9,Female,9,97368,Yes
Maegan,Starton,3439.00,760.00,185,2257.00,24,Yes,No,2152.00,6398.00,7886.00,75,29,3,71,77,8,54,83,33,84,6,52,20,38,22,Female,78,71454,No
Meara,Raund,9410.00,2520.00,651,129.00,34,Yes,Yes,7055.00,6908.00,1229.00,1,88,32,53,62,23,79,83,81,73,50,9,35,34,86,Female,40,96599,Yes
Ronalda,Brunstan,183.00,404.00,636,1745.00,58,No,Yes,9911.00,4973.00,7955.00,35,86,31,8,60,15,55,11,90,3,100,58,53,87,49,Female,12,99162,Yes
Shawn,Hayland,3291.00,9088.00,420,2166.00,12,No,No,4776.00,1481.00,6983.00,86,29,55,61,81,37,93,11,1,30,27,23,100,52,13,Female,44,38470,No
Bernadette,Dell,2297.00,8617.00,679,8576.00,86,Yes,Yes,1063.00,7487.00,446.00,49,25,55,100,23,60,13,42,44,70,24,96,41,28,6,Female,65,66553,Yes
Dee,Underhill,5840.00,8623.00,3,1155.00,97,No,No,4114.00,5893.00,8461.00,49,15,57,16,29,71,56,17,64,97,10,71,7,95,73,Female,32,40611,No
